Latijnse naam	Nederlandse naam	Comments on phytoremedial effectiveness	Continent-Country-City-Site	Reference (author, year)	Extractor/excluder	AI comment (berm Genk, droog zand)
Abelia grandiflora	abelia (grootbloemige abelia)	"Bladeren langs drukke wegen accumuleren verhoogde concentraties Pb, Zn en Cu; soort wordt in studies gebruikt als indicator voor uitlaatgas- en stofvervuiling en kan zo metalen uit luchtgedragen stof vasthouden. Krishikosh+1"	Azië / Europa, China & diverse stedelijke locaties	"Li et al., 2011; Zhang et al., 2015"		"Sierstruik uit warme streken; houdt van droge, goed doorlatende bodem in volle zon maar is niet inheems en wat vorstgevoelig op open, winderige bermen."
Carpinus betulus	haagbeuk	"Bladeren van C. betulus in een zwaar vervuilde Poolse stad namen aanzienlijke hoeveelheden fijn stof (PM) en eraan gebonden metalen (o.a. Zn, Cr, Ni, Pb, Cd, Sb) op; van de onderzochte soorten had C. betulus de hoogste concentraties sporen-elementen in het blad, wat wijst op een sterke capaciteit om metaalhoudend stof uit de lucht te filteren. SpringerLink"	Europa, Polen, industriële stadsomgeving (Upper-Silesia)	Przybysz et al., 2019		"Inheemse boom/haag; kan op zand maar heeft het liefst matig vochtig, leemiger bodem – in heel droge bermen alleen als er wat vochthoudend profiel is."
Acer monspessulanum	Franse / Spaanse esdoorn					"Warmteminnende zuid-Europese soort; kan goed tegen droogte en kalk, geschikt op warme, droge bermen maar niet inheems."
Acer opalus	Italiaanse esdoorn					"Mediterrane esdoorn; houdt van zonnige, kalkrijke, droge bodems maar is vorstgevoelig in strenge winters – alleen op beschutte, warme standplaats."
Cornus sanguinea	Rode kornoelje	"In centrale parken van Boekarest bevatten gewassen, gewassen bladeren van C. sanguinea Pb 1,4–3,81 mg/kg, Cd 0,22–0,55 mg/kg, Cu 0,95–13,9 mg/kg en Zn 5,58–13,84 mg/kg d.w.; Cu in het blad overschreed vaak normale plantenwaarden, wat duidt op effectieve accumulatie van verkeer-gerelateerde metalen. In een PM-selectiestudie kreeg de soort bovendien een relatief hoge score voor bladarchitectuur en PM-retentie (index ?1,40, klasse “++”)."	Europa, Roemenië, Boekarest	"Onete et al., 2008; Muhammad et al., 2022"		"Inheemse heester, kan zowel droog als matig vochtig; goed voor brede, ruige bermen en hagen op zand."
Acer tataricum	Tatarische esdoorn	"Groeit en functioneert goed in industrieel vervuilde omgevingen met verhoogde SO?, NOx en zware metalen; studies rapporteren beperkte groeireductie en wijzen op tolerantie en potentieel voor beplanting in vervuilde (metaalrijke) stedelijke zones. asrm.ro+1"	Europa, industriële sites in Oost-Europa	"Onete et al., 2012; Vukovi? et al., 2018"		"Kleine boom/struik, goed wind- en droogtetolerant; bruikbaar in droge wegbermen maar niet inheems."
Crataegus laevigata	tweestijlige meidoorn	"In Zuidoost-Servië werd in bodem, bladeren en eetbare vruchten van C. laevigata Zn, Mn, Fe, Pb, Ni, Cu en Cd gemeten; metalen in blad en vrucht correleerden positief met bodemniveaus, wat wijst op opname uit de bodem en translocatie naar vruchtweefsel (vooral Zn, Mn, Fe). Metalen bleven meestal onder gezondheidsnormen maar tonen wel matige phyto-accumulatie."	Europa, Servië, regio Svrljig/Soko Banja	Randjelovi? et al., 2014		"Inheemse meidoorn; goed voor hagen en kleine bomen op droge, kalkrijke zandbodem, zeer waardevol voor insecten en vogels."
Crataegus monogyna	eenstijlige meidoorn	"In de parken van Boekarest hadden gewassen bladeren van C. monogyna Pb 0,38–4,51 mg/kg, Cd 0,58–0,92 mg/kg, Cu 2,53–3,28 mg/kg en Zn 8,18–13,28 mg/kg d.w.; Cd lag boven de typische “normale” range voor planten, waardoor de soort als goede bio-indicator van Cd-vervuiling wordt gezien. Een Oostenrijkse studie naar medicinale hawthorn-bladeren vond eveneens meetbare, maar voedsel-veilig geachte, niveaus van toxische elementen (Pb, Cd)."	"Europa, Roemenië, Boekarest; Europa, Oostenrijk, Wenen-regio"	"Onete et al., 2008; Zeiner et al., 2013"		"Zeer sterke inheemse boom/struik; verdraagt wind, kalk, snoei en droge zandbodems – ideaal voor hagen en solitaire bomen langs de weg."
Euonymus europaeus	wilde kardinaalsmuts	In een rangschikking van struiken voor luchtzuivering kreeg E. europaeus een gunstige score voor bladstructuur, ruwheid en dichtheid: PM-retentie-index ~1,35 (klasse “+”), geschikt als haag voor het afvangen van verkeer-gerelateerd fijn stof en bijbehorende metalen.	Europa, (experimentele locaties in Centraal-Europa, exacte stad niet gespecificeerd)	Muhammad et al., 2022		"Inheemse struik voor lichte, droge tot matig vochtige bodems; mooie vruchten, goed voor fauna – geschikt voor bermranden en houtkanten."
Amelanchier canadensis	Canadese krentenboom					"Niet-inheemse krent; verdraagt droge, arme bodems goed en geeft veel bloesem en bessen, maar heeft beperkte natuurwaarde t.o.v. inheemse soorten."
